[2018-02-28 02:10:24] repayment.INFO: -------------[20171123000003]第1期正常还款，步骤1------------- [] []
[2018-02-28 02:10:25] repayment.INFO: 更新投资人[2000000029]帐户积分成功！ [] []
[2018-02-28 02:10:25] repayment.INFO: 更新投资人[2000000029]回款表成功！ [] []
[2018-02-28 02:10:25] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:10:25] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:10:25] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
[2018-02-28 02:12:38] repayment.INFO: -------------[20171122000008]第2期正常还款，步骤1------------- [] []
[2018-02-28 02:12:38] repayment.INFO: 更新投资人[2000000036]帐户积分成功！ [] []
[2018-02-28 02:12:38] repayment.INFO: 更新投资人[2000000036]回款表成功！ [] []
[2018-02-28 02:12:38] repayment.INFO: 更新投资人[2000000082]帐户积分成功！ [] []
[2018-02-28 02:12:38] repayment.INFO: 更新投资人[2000000082]回款表成功！ [] []
[2018-02-28 02:12:38] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:12:39] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:12:39] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
[2018-02-28 02:12:39] repayment.INFO: 请求银行存管批次还款接口成功！ [] []
[2018-02-28 02:13:21] repayment.INFO: -------------[20171123000003]第2期正常还款，步骤1------------- [] []
[2018-02-28 02:13:22] repayment.INFO: 更新投资人[2000000029]帐户积分成功！ [] []
[2018-02-28 02:13:22] repayment.INFO: 更新投资人[2000000029]回款表成功！ [] []
[2018-02-28 02:13:22] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:13:22] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:13:22] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
[2018-02-28 02:13:29] repayment.INFO: -------------[20171123000003]第2期正常还款，步骤1------------- [] []
[2018-02-28 02:13:41] repayment.INFO: -------------[20171123000003]第2期正常还款，步骤1------------- [] []
[2018-02-28 02:14:32] repayment.INFO: -------------[20171123000009]第2期正常还款，步骤1------------- [] []
[2018-02-28 02:14:32] repayment.INFO: 更新投资人[2000000043]帐户积分成功！ [] []
[2018-02-28 02:14:32] repayment.INFO: 更新投资人[2000000043]回款表成功！ [] []
[2018-02-28 02:14:32] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:14:32] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:14:33] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
[2018-02-28 02:14:33] repayment.INFO: 请求银行存管批次还款接口成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: -------------[20171122000008]第3期正常还款，步骤1------------- [] []
[2018-02-28 02:15:03] repayment.INFO: 更新投资人[2000000036]帐户积分成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: 更新投资人[2000000036]回款表成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: 更新投资人[2000000036]帐户积分成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: 更新投资人[2000000036]回款表成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:15:03] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:15:04] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
[2018-02-28 02:15:04] repayment.INFO: 请求银行存管批次还款接口成功！ [] []
[2018-02-28 02:15:10] repayment.INFO: -------------[20171123000003]第3期正常还款，步骤1------------- [] []
[2018-02-28 02:15:11] repayment.INFO: 更新投资人[2000000029]帐户积分成功！ [] []
[2018-02-28 02:15:11] repayment.INFO: 更新投资人[2000000029]回款表成功！ [] []
[2018-02-28 02:15:11] repayment.INFO: 更新借款人还款表成功！ [] []
[2018-02-28 02:15:11] repayment.INFO: 更新积分日志成功！ [] []
[2018-02-28 02:15:11] repayment.INFO: 请求银行存管冻结金额接口成功！ [] []
